#stream_file,packet_series_counter,packet_number,packet_time_relative,packet_tcp_stream,packet_header_data,packet_type,decryption_key_milliseconds,decryption_key_depth,decryption_key
ddpkg/stream17-largedelivery-marked.pcapng,2,1313,86.045864000,9,e4bcbb22803b6709d829a9264271fa19,game-select,,,
ddpkg/stream17-largedelivery-marked.pcapng,0,1423,95.014330000,10,b169c251411199f1ea4814de85da3ccb,game,,,
ddpkg/stream17-largedelivery-marked.pcapng,1,227,19.068941000,2,2c0569a600f0e99686d45f409776c619,game,,,
ddpkg/stream17-largedelivery-marked.pcapng,2,7252,651.633795000,22,c16c2b27105173e2c9b2eedd07aaf65a,game,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,0,911,65.889037000,10,9c7156cbde67270537215abcf33067de,login,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,1,31,3.543144000,2,c3a4006326e0cebde6625db685259f0d,login,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,2,2682,269.106791000,22,3f551ccbe8cb69f1b3afac199ffdb317,login,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,0,1020,75.847940000,11,f9f9c6227b398397e05c8ff3347152c4,game-select,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,1,2795,299.307189000,23,61066f9f68be168a948267d54a5ac7a9,game-select,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,2,141,14.073707000,3,16fc8c10fccc6c8e8f13cb28043e3454,game-select,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,0,1131,85.051350000,12,2fe30d12850a32f42276cffabc40ab01,game,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,1,2908,307.030109000,24,38a2475fe0c6e7506ce803531cb2d83a,game,,,
ddpkg/stream18-rankup-2ndpawn-marked.pcapng,2,252,21.708668000,4,1d612b6695dd0514fdb44d912644e07e,game,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,0,22,3.910860000,1,96c8b8c22c2303d45170abda171ad757,login,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,1,3331,306.992310000,34,1945ed8f7b860712d988e9d0d66b1768,login,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,2,4453,370.746882000,42,7c36305cd5e626ce28d6c03990d8fe10,login,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,0,133,12.094258000,2,75ba14fd8468b133f9293a32d92951ee,game-select,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,1,3438,317.132397000,35,a24a4b0e8bebeb3a667604f0e973da88,game-select,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,2,4562,381.118209000,43,6bcfb603aeb3ff4612dae3c75cd74084,game-select,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,0,244,21.029676000,3,26da06994680469a6f5e2f77441f7b31,game,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,1,3551,324.833892000,36,6dd22516f3aa6b3d2a7eabe96080fa64,game,,,
ddpkg/stream19-smnbell-mandragona-hsunlock-marked.pcapng,2,4674,389.251811000,44,1c597f0e49e3385f2c22008abc8759cd,game,,,
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,0,12010,86.619122000,45,d374df2292070f592fb4d2f45420ab73,login,2301,235,XDm-oEAv2rQPtBxECHl97__W5KVOr1sN
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,1,13053,153.641742000,53,d525b78fdd1939e0da75b0de51c53315,login,,,
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,2,24381,939.665929000,75,ab334a91a1763ca5646a0e26256da612,login,,,
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,0,12119,98.800562000,46,7c43eef96a85980141c32517119bf1b0,game-select,2301,1598,ywFMPIK_sr40OnYJ0X952lcn1WPl-e8T
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,1,13159,161.708708000,54,6fdf6ec2eeac87711b91be08d6e3eb3e,game-select,,,
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,2,24488,948.026295000,76,e7ac81729aae27431a7d7fa049ddaa5f,game-select,,,
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,0,12230,107.069832000,47,0e17c54fe0279a30b078a3ba93cf0031,game,2301,1942,_vHY0zfLNfNeR39GPL3m44oVOvSt4Aqi
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,1,13270,170.864710000,55,49a3caf6f9cfbf79d676cc338662e343,game,,,
ddpkg/stream20-bloodorbs-grantrequest-marked.pcapng,2,24598,955.794737000,77,fd9e1a17abda4f421991c7c63be1f9dc,game,,,
ddpkg/stream21-failedlogin-marked.pcapng,0,7,0.468789000,0,b11166467195e361c9eb4add543326e7,login,,,
ddpkg/stream21-failedlogin-marked.pcapng,1,12003,274.632548000,46,9ed8be671da68724e2c1e88448b44f69,login,2358,546,9-oQqKGMkycfxTBON3uiDA7EaB7Ozd3c
ddpkg/stream21-failedlogin-marked.pcapng,2,13832,462.140325000,62,253d82a325c83ab3c84cb9327beb4281,login,,,
ddpkg/stream21-failedlogin-marked.pcapng,3,14538,536.090554000,66,cab91103d9e873fbb697e43c7b01a47c,login,,,
